question_id ;question_english;correct_answer_english;incorrect_answer_1_english;incorrect_answer_2_english;incorrect_answer_3_english;question_french;correct_answer_french;incorrect_answer_1_french;incorrect_answer_2_french;incorrect_answer_3_french
B-002-005-011;What is the meaning of the Morse code signal "R"?;All received;End of message;Called station only reply;Repeat all;Que signifie le signal "R" en code Morse?;Tout a été bien reçu;Fin du message;Seule la station appelée est invitée à répondre;Tout retransmettre
B-002-006-001;What do "RST" signal reports describe?;Signal reception;Transmitter power;Sunspot activity;Ionospheric conditions;Que décrit un rapport de signal "RST"?;La qualité de la réception;La puissance de l'émetteur;L'activité solaire;Les conditions ionosphériques
B-002-006-002;What does "RST" stand for in a signal report?;Readability, signal strength, tone;Recovery, signal strength, tempo;Recovery, signal speed, tone;Readability, signal speed, tempo;Quelles sont les trois composantes d'un rapport de signal "RST"?;Lisibilité, intensité du signal et tonalité;Récupération, intensité du signal et rythme;Récupération, vitesse du signal et tonalité;Lisibilité, vitesse du signal et rythme
B-002-006-003;What is the meaning of: "Your signal report is 5 7"?;Your signal is perfectly readable and moderately strong;Your signal is readable with considerable difficulty;Your signal is perfectly readable with near pure tone;Your signal is perfectly readable, but weak;Que signifie "Votre rapport de signal est 5 7"?;Votre signal est parfaitement lisible et il est modérément fort;Votre signal est lisible, mais avec beaucoup de difficulté;Votre signal est parfaitement lisible, et la tonalité est excellente;Votre signal est parfaitement lisible, mais il est faible
B-002-006-004;What is the meaning of: "Your signal report is 3 3"?;Your signal is readable with considerable difficulty and weak in strength;Your signal is unreadable, very weak in strength;The station is located at latitude 33 degrees;The contact is serial number 33;Que signifie "Votre rapport de signal est 3 3"?;Votre signal est lisible avec difficulté et faible;Votre signal est incompréhensible et très faible;La station est localisée à la latitude de 33 degrés;Le numéro de série de ce contact est 33
B-002-006-005;What is the meaning of: "You are 5 9 plus 20 dB"?;You are perfectly readable with a signal strength 20 decibels greater than S9;The bandwidth of your signal is 20 decibels above linearity;Repeat your transmission on a frequency 20 kHz higher;Your signal strength has increased by a factor of 100;Que signifie "Je vous reçois 5 9 plus 20 dB"?;Votre signal est excellent et l'intensité de votre signal est de 20 dB au-dessus de S9;La largeur de bande de votre signal excède la linéarité de 20 dB;Reprenez votre transmission sur une fréquence plus élevée de 20 kHz;L'intensité de votre signal vient d'augmenter de 100 fois
B-002-006-006;A distant station asks for a signal report on a local repeater you monitor. What do you report?;The quality of the station's signal and audio as heard through the repeater;Your S-meter reading on the repeater output frequency;Your S-meter reading on the repeater input frequency;The readability and strength of the repeater signal;Une station éloignée entendue sur un répéteur local désire obtenir un rapport de signal. Que devez-vous rapporter?;La qualité de son signal et de son audio tel qu'entendu à la sortie du répéteur;La lecture de votre S-mètre à la fréquence de sortie du répéteur;La lecture de votre S-mètre à la fréquence d'entrée du répéteur;La lisibilité et l'intensité du signal reçu du répéteur
B-002-006-007;Your receiver's S-meter is calibrated to a standard of 6 dB per S-unit per a recommendation by the International Amateur Radio Union (IARU). The S-meter shows S9 when receiving a station transmitting with 100 watts. Neglecting propagation changes, what transmitter power would cause your receiver's S-meter to read S8?;25 watts;75 watts;50 watts;33 watts;Le S-mètre sur votre récepteur est étalonné selon une recommandation de l'Union internationale des radioamateurs (IARU), soit 6 dB par unité S. Une station utilisant 100 watts est reçue à S9. Sans changement à la propagation, quelle puissance à l'émetteur réduirait l'indication de votre S-mètre à S8?;25 watts;75 watts;50 watts;33 watts
B-002-006-008;Assume your receiver's S-meter is calibrated to a standard of 6 dB per S-unit per a recommendation by the International Amateur Radio Union (IARU). The S-meter on your receiver shows S8 when listening to a nearby transmitter. Approximately how much must the transmitter power be raised to increase the reading to S9?;4 times;5 times;3 times;2 times;Le S-mètre sur votre récepteur est étalonné selon une recommandation de l'Union internationale des radioamateurs (IARU), soit 6 dB par unité S. Vous recevez un radioamateur local à S8. Quelle augmentation approximative de puissance à l'émetteur hausserait l'indication à S9?;4 fois;5 fois;3 fois;2 fois
B-002-006-009;What does "RST 579" mean in a Morse code contact?;Your signal is perfectly readable, moderately strong, and with perfect tone;Your signal is perfectly readable, weak strength, and with perfect tone;Your signal is fairly readable, fair strength, and with perfect tone;Your signal is barely readable, moderately strong, and with a faint ripple;Que signifie "RST 579" dans un contact en code Morse?;Votre signal est parfaitement lisible, modérément fort, et avec une tonalité parfaite;Votre signal est parfaitement lisible, faible, et avec une tonalité parfaite;Votre signal est passablement lisible, passablement fort, et avec une tonalité parfaite;Votre signal est tout juste lisible, modérément fort, et avec une légère ondulation
B-002-006-010;What does "RST 459" mean in a Morse code contact?;Your signal is quite readable, fair strength, and with perfect tone;Your signal is very readable, very strong, and with perfect tone;Your signal is barely readable, very weak, and with perfect tone;Your signal is moderately readable, very weak, and with hum on the tone;Que signifie "RST 459" dans un contact en code Morse?;Votre signal est tout à fait lisible, passablement fort, et avec une tonalité parfaite;Votre signal est lisible, très fort, et avec une tonalité parfaite;Votre signal est tout juste lisible, très faible, et avec une tonalité parfaite;Votre signal est modérément lisible, très faible, et avec un ronflement dans la tonalité
B-002-006-011;In voice contacts, what is the meaning of "Your signal report is 1 1"?;Your signal is unreadable, and barely perceptible;Your signal is 11 dB over S9;Your signal is moderately readable with moderate strength;Your signal is very readable and very strong;Que signifie "Votre rapport de signal est 1 1" pour un contact en mode voix?;Votre signal est illisible et à peine perceptible;Votre signal est 11 dB au-dessus de S9;Votre signal est modérément lisible et modérément fort;Votre signal est très lisible et très fort
B-002-007-001;What does the code "QRS" mean in amateur radio?;Send more slowly;Interference from static;Send "RST" report;Radio station location is ...;Que signifie le code "QRS" en radio amateur?;Émettez plus lentement;Brouillage par parasites;Émettez un rapport "RST";L'emplacement de la station est ...
B-002-007-002;What does the code "QTH" mean in amateur radio?;My location is ...;Stop sending;My name is ...;Time here is ...;Que signifie le code "QTH" en radio amateur?;Ma position est ...;Cessez d'émettre;Mon nom est ...;Ici, il est ... heure
B-002-007-003;What is the proper Q code to use to see if a frequency is in use before transmitting on CW?;QRL?;QRV?;QRU?;QRZ?;Quel code Q doit-on employer pour vérifier si la fréquence est occupée avant d'émettre en code Morse?;QRL?;QRV?;QRU?;QRZ?
